area_id,total_poi_count,active_poi_count,competitor_count,complementary_count,commercial_other_count,unique_category_count,mean_data_quality_score,competitor_density_proxy,complementarity_ratio,commercial_activity_proxy,saturation_proxy,recent_refresh_share,station_entrance_count,pt_facility_count,bus_shelter_count,transit_access_raw,transit_access_score,sa2_code_2021,sa2_name_2021,market_fit_score,seifa_irsad_decile,sa2_population,sal_name_2021,sal_code_2021,rent_stress_share,rent_affordability_score,commercial_activity_log,diversity_log,competition_log,saturation_log,n_complementarity,n_activity,n_diversity,n_competition,n_saturation,n_quality,n_transit,n_market_fit,n_rent_affordability,score_complementarity,score_activity,score_diversity,score_competition,score_saturation,score_quality,score_transit_access,score_market_fit,score_rent_affordability,opportunity_score,reasons_top3
88be635633fffff,3678,3678,357,1177,551,3808,1.0,0.09703723837999456,0.31992389236205493,3678,0.06599270737340213,,0,1,0,0.6931471805599453,0.07834324766625216,206041505,Melbourne CBD - West,0.667255669391044,8,15648,Melbourne,21640,0.39281632653061227,0.6071836734693877,8.210396255104774,8.245121966478605,0.09261312636872521,0.06390648460712106,0.37324454108906413,0.8752891412649441,0.8816086430916826,0.18130086287752728,0.12510430494065553,0.0,1.0,0.7256719706548818,0.7359349748504195,0.33592008698015774,0.9628180553914385,0.5289651858550095,-0.19943094916528004,-0.10008344395252443,0.0,0.6,0.3628359853274409,0.36796748742520974,2.858992407861452,High commercial activity; Strong transit access; High category diversity
88be6355d3fffff,281,281,8,211,12,315,1.0,0.028368794326241134,0.74822695035461,281,0.007142497862280568,,0,0,0,,0.0,210011231,Strathmore,0.8365949119373777,9,10031,Strathmore (Vic.),22380,0.27147766323024053,0.7285223367697595,5.641907070938114,5.755742213586912,0.027973852042406124,0.0071171110363129715,0.8729314420803783,0.5762208690734096,0.615432021932,0.054762037652247755,0.013932564666280957,0.0,0.0,0.9098363734241396,0.8830031027104891,0.7856382978723405,0.6338429559807507,0.36925921315919996,-0.060238241417472534,-0.011146051733024766,0.0,0.0,0.4549181867120698,0.44150155135524455,2.6137759119291086,Strong complements; High commercial activity; Strong market fit
88be635631fffff,10736,10736,755,3891,1449,11525,1.0,0.07031759336872496,0.3623917295333892,10736,0.044835079091207146,,0,0,0,,0.0,206041505,Melbourne CBD - West,0.667255669391044,8,15648,Melbourne,21640,0.39281632653061227,0.6071836734693877,9.281450999434135,9.352360631996612,0.06795542066504467,0.04385905391056099,0.42279035112228747,1.0,1.0,0.13303056366682003,0.08585915010922168,0.0,0.0,0.7256719706548818,0.7359349748504195,0.3805113160100587,1.1,0.6,-0.14633362003350206,-0.06868732008737735,0.0,0.0,0.3628359853274409,0.36796748742520974,2.59629384864183,High commercial activity; High category diversity; Strong complements
88be63cc23fffff,738,738,51,401,98,856,1.0,0.06901217861975643,0.5426251691474966,738,0.031564433522973855,,0,0,0,,0.0,208041195,Malvern East,0.8602451939679981,10,21923,Malvern East,21587,0.30708661417322836,0.6929133858267716,6.6052979209482015,6.75343791859778,0.0667350245128654,0.031076517426998164,0.6330626973387461,0.688395620960142,0.7221105113817671,0.13064149762275187,0.06083586253542036,0.0,0.0,0.9355571691475644,0.8398433908115511,0.5697564276048716,0.7572351830561562,0.43326630682906025,-0.14370564738502709,-0.04866869002833629,0.0,0.0,0.4677785845737822,0.41992169540577556,2.4555838600562825,High commercial activity; Strong complements; Strong market fit
88be635663fffff,614,614,32,276,31,597,1.0,0.05203252032520325,0.44878048780487806,614,0.02868134047194131,,0,0,0,,0.0,206071517,Richmond (South) - Cremorne,0.8752906642108897,10,17671,Richmond (Vic.),22170,0.17494929006085191,0.8250507099391481,6.421622267806518,6.393590753950631,0.050724026694382696,0.02827773004986745,0.5235772357723578,0.6670089004836228,0.6836338979569139,0.09929812510270508,0.05535691385524836,0.0,0.0,0.9519198267336029,1.0,0.47121951219512204,0.7337097905319852,0.41018033877414833,-0.1092279376129756,-0.04428553108419869,0.0,0.0,0.47595991336680143,0.5,2.4375560861708827,High commercial activity; Lower rental stress (proxy); Strong market fit
88be63cc3dfffff,582,582,41,316,84,668,1.0,0.07032590051457976,0.5420240137221269,582,0.032207573649044245,,0,0,0,,0.0,208041195,Malvern East,0.8602451939679981,10,21923,Malvern East,21587,0.30708661417322836,0.6929133858267716,6.368187186350492,6.505784060128229,0.0679631820189353,0.03169978409081078,0.6323613493424814,0.6607870570809019,0.6956301532973846,0.1330457574110833,0.062055978823279345,0.0,0.0,0.9355571691475644,0.8398433908115511,0.5691252144082333,0.7268657627889922,0.4173780919784308,-0.14635033315219165,-0.04964478305862348,0.0,0.0,0.4677785845737822,0.41992169540577556,2.4050742329443993,High commercial activity; Strong complements; Strong market fit
88be635615fffff,2192,2192,157,764,319,2257,1.0,0.07159142726858185,0.3483812129502964,2192,0.04665031899991039,,0,0,0,,0.0,206051512,South Melbourne,0.7653505237711522,9,11693,South Melbourne,22310,0.2680614579928081,0.7319385420071919,7.693025748417888,7.722234744709607,0.06914485872031645,0.045594892340183206,0.4064447484420125,0.8150478505982258,0.8256989917914452,0.13535902567016045,0.08925725378465008,0.0,0.0,0.8323547454210848,0.8871437030351459,0.36580027359781125,0.8965526356580484,0.4954193950748671,-0.1488949282371765,-0.07140580302772007,0.0,0.0,0.4161773727105424,0.44357185151757295,2.3972207972939454,High commercial activity; High category diversity; Lower rental stress (proxy)
88be635643fffff,1908,1908,126,615,394,2034,1.0,0.06600314300680984,0.322158198009429,1908,0.04473968939277734,,0,0,0,,0.0,206061136,Prahran - Windsor,0.8092782318406814,10,19119,Windsor (Vic.),22805,0.24544600938967137,0.7545539906103287,7.554334823725748,7.618251097876695,0.06391627415094775,0.043767753326408865,0.37585123101100054,0.7988990361620918,0.8145805532576317,0.12512346910034375,0.08568041869892354,0.0,0.0,0.8801281971030458,0.9145546831490892,0.33826610790990047,0.8787889397783011,0.488748331954579,-0.13763581601037814,-0.06854433495913884,0.0,0.0,0.4400640985515229,0.4572773415745446,2.396964668799331,High commercial activity; High category diversity; Lower rental stress (proxy)
88be635605fffff,817,817,44,293,63,793,1.0,0.05378973105134474,0.3581907090464548,817,0.034522749146645465,,0,0,0,,0.0,206071517,Richmond (South) - Cremorne,0.8752906642108897,10,17671,Cremorne (Vic.),20670,0.17494929006085191,0.8250507099391481,6.706862336602747,6.677083461247136,0.05239293406094604,0.033940208436923074,0.4178891605541973,0.7002215202059675,0.7139463205047154,0.10256520351247544,0.06644186755296969,0.0,0.0,0.9519198267336029,1.0,0.37610024449877755,0.7702436722265643,0.42836779230282923,-0.112821723863723,-0.05315349404237575,0.0,0.0,0.47595991336680143,0.5,2.384696404488874,High commercial activity; Lower rental stress (proxy); Strong market fit
88be6354c7fffff,690,690,56,384,93,783,1.0,0.08104196816208394,0.5557163531114327,690,0.036005621166077806,,0,0,0,,0.0,213031349,Maribyrnong,0.7531368711868308,8,12573,Maribyrnong,21604,0.28668407310704963,0.7133159268929503,6.53813982376767,6.664409020350408,0.07792536136514741,0.03537256965855396,0.6483357452966716,0.6805759049141236,0.7125911074846607,0.1525478710144835,0.06924587963652767,0.0,0.0,0.8190718229277514,0.864572223621941,0.5835021707670045,0.748633495405536,0.42755466449079643,-0.16780265811593187,-0.055396703709222145,0.0,0.0,0.4095359114638757,0.4322861118109705,2.3783129921130293,High commercial activity; Strong complements; Lower rental stress (proxy)
88be63545dfffff,981,981,66,461,84,1049,1.0,0.06720977596741344,0.4694501018329939,981,0.03565813979533849,,0,0,0,,0.0,206041124,Parkville,0.7691665707378841,9,7297,Melbourne,21640,0.30501089324618735,0.6949891067538126,6.889591308354466,6.956545443151569,0.06504755652652158,0.0350371084890863,0.5476917854718263,0.7214980115371361,0.7438277582401602,0.12733808466178254,0.06858917575586773,0.0,0.0,0.83650487624723,0.8423592615356598,0.4929226069246437,0.7936478126908498,0.44629665494409615,-0.1400718931279608,-0.05487134060469419,0.0,0.0,0.418252438123615,0.4211796307678299,2.3773559097183794,High commercial activity; Strong complements; High category diversity
