area_id,total_poi_count,active_poi_count,competitor_count,complementary_count,commercial_other_count,unique_category_count,mean_data_quality_score,competitor_density_proxy,complementarity_ratio,commercial_activity_proxy,saturation_proxy,recent_refresh_share,station_entrance_count,pt_facility_count,bus_shelter_count,transit_access_raw,transit_access_score,sa2_code_2021,sa2_name_2021,market_fit_score,seifa_irsad_decile,sa2_population,sal_name_2021,sal_code_2021,commercial_activity_log,diversity_log,competition_log,saturation_log,n_complementarity,n_activity,n_diversity,n_competition,n_saturation,n_quality,n_transit,n_market_fit,score_complementarity,score_activity,score_diversity,score_competition,score_saturation,score_quality,score_transit_access,score_market_fit,opportunity_score,reasons_top3
88be0e35cbfffff,14895,14895,102,4792,2253,15502,1.0,0.006847475832438239,0.3216970998925886,14895,0.004644662715558269,,23,7,10,4.07753744390572,1.0,117031644,Sydney (North) - Millers Point,0.8475941061356048,10,8004,Sydney,13730,9.608847999516849,9.648788832566362,0.006824138344486385,0.004633909553372834,0.42405526804023047,1.0,1.0,0.057938210765724474,0.061601951588149365,0.0,1.0,0.8669143099347728,0.38164974123620743,1.0,0.6,-0.052144389689152026,-0.036961170952889616,0.0,0.6,0.5201485859608637,3.0126927665550296,High commercial activity; High category diversity; Strong transit access
88be0e3435fffff,7857,7857,46,2716,1031,8204,1.0,0.005853906846525834,0.34563502163400356,7857,0.003830591626983435,,16,4,3,3.6506582412937387,0.8837497838889209,117031645,Sydney (South) - Haymarket,0.6817946356624841,9,19935,Sydney,13730,8.969287400118406,9.01249900352419,0.00583683930929867,0.003823273593189626,0.4556098012448229,0.9282658074350605,0.9340549534160618,0.04955585731655689,0.05082557440606302,0.0,0.8837497838889209,0.6973355782136718,0.41004882112034063,0.9282658074350605,0.560432972049637,-0.0446002715849012,-0.03049534464363781,0.0,0.5302498703333525,0.418401346928203,2.7723032016380547,High commercial activity; High category diversity; Strong transit access
88be0e3431fffff,4213,4213,28,1620,617,4538,1.0,0.006644518272425249,0.3844328429046037,4213,0.0040901472232252245,,19,5,0,3.784189633918261,0.9201138258830773,117031645,Sydney (South) - Haymarket,0.6817946356624841,9,19935,Haymarket,11884,8.346167594364134,8.420462002456466,0.006622540760493414,0.004081805309771341,0.5067523838287958,0.8583756419385501,0.8726962677466754,0.0562266095757101,0.054262425752735516,0.0,0.9201138258830773,0.6973355782136718,0.45607714544591627,0.8583756419385501,0.5236177606480052,-0.05060394861813909,-0.03255745545164131,0.0,0.5520682955298464,0.418401346928203,2.72537878642074,High commercial activity; Strong transit access; High category diversity
88be08536dfffff,3658,3658,16,1469,340,3830,1.0,0.004372779447936594,0.4014758130636786,3658,0.0026172142637281063,,9,3,0,3.091042453358316,0.7313519723098968,125041717,Parramatta - North,0.7246690457004719,9,12062,Parramatta,13167,8.204945165019208,8.25088114470065,0.00436324662773024,0.0026137953225787557,0.5292181172203037,0.8425358967280946,0.8551209159902506,0.03704477986506851,0.0347470944497895,0.0,0.7313519723098968,0.7411872748251582,0.4762963054982733,0.8425358967280946,0.5130725495941504,-0.03334030187856166,-0.0208482566698737,0.0,0.43881118338593805,0.4447123648950949,2.661239741553116,High commercial activity; High category diversity; Strong complements
88be0e2747fffff,1867,1867,9,718,156,1964,1.0,0.004817987152034261,0.38436830835117775,1867,0.002966105580749144,,14,1,0,3.4011973816621555,0.8158151582009437,121011684,Chatswood - East,0.7974617244157935,9,19601,Chatswood,10891,7.532623618788788,7.583247524303362,0.004806417797720889,0.0029617153686703696,0.5066673155538253,0.7671271812627996,0.7859274004120149,0.040807385978257366,0.03937225029045161,0.0,0.8158151582009437,0.8156392022040642,0.45600058399844273,0.7671271812627996,0.47155644024720894,-0.03672664738043163,-0.023623350174270967,0.0,0.48948909492056625,0.48938352132243845,2.6132068241967534,High commercial activity; Strong transit access; Strong market fit
88be0e34e9fffff,1731,1731,1,866,62,1887,1.0,0.0005773672055427252,0.5,1731,0.0002886836027713626,,3,1,0,2.0794415416798357,0.4558669548126133,117031640,Newtown (NSW),0.8345746517785195,10,14667,Newtown (NSW),12969,7.4570320891223805,7.543273346705446,0.0005772005932256144,0.0002886419416778316,0.6590909090909092,0.7586487081509964,0.7817844786120274,0.00490054098206062,0.0038371286087371336,0.0,0.4558669548126133,0.8535980879270962,0.5931818181818183,0.7586487081509964,0.4690706871672164,-0.004410486883854559,-0.00230227716524228,0.0,0.27352017288756797,0.5121588527562577,2.5998674750947597,High commercial activity; Strong complements; Strong market fit
88be0e35c1fffff,3386,3386,18,997,453,3560,1.0,0.005314437555358724,0.2943607912607027,3386,0.003750075511457736,,10,1,0,3.091042453358316,0.7313519723098968,117031644,Sydney (North) - Millers Point,0.8475941061356048,10,8004,Sydney,13730,8.127699852817772,8.177796683277778,0.005300365765841032,0.003743061508179229,0.3880210430254718,0.8338719325855122,0.8475464460032821,0.04500109660362426,0.0497592564469655,0.0,0.7313519723098968,0.8669143099347728,0.34921893872292464,0.8338719325855122,0.5085278676019692,-0.04050098694326183,-0.0298555538681793,0.0,0.43881118338593805,0.5201485859608637,2.580221967445767,High commercial activity; Strong market fit; High category diversity
88be0e3467fffff,1880,1880,5,846,124,2027,1.0,0.002658160552897395,0.44976076555023925,1880,0.0014626242276708154,,3,1,0,2.0794415416798357,0.4558669548126133,118011341,Bondi Junction - Waverly,0.8712731668009669,10,17720,Bondi Junction,10465,7.53955882930103,7.614805364711073,0.0026546338923724173,0.0014615556346948798,0.592866463679861,0.7679050461388277,0.7891980534395948,0.022538338204467438,0.019429528870784352,0.0,0.4558669548126133,0.8911331151246851,0.5335798173118749,0.7679050461388277,0.4735188320637569,-0.020284504384020696,-0.01165771732247061,0.0,0.27352017288756797,0.534679869074811,2.551261515770347,High commercial activity; Strong market fit; Strong complements
88be08cb5dfffff,1352,1352,1,729,61,1491,1.0,0.0007390983000739098,0.5388026607538803,1352,0.00034087016943541736,,5,1,0,2.4849066497880004,0.5662855607195418,119031664,Hurstville - Central,0.6114826752618855,6,12046,Hurstville,11971,7.210079628170788,7.307872780763706,0.0007388253014322633,0.0003408120863980202,0.7102398709937514,0.730950104758371,0.7573875755367707,0.0062727649810936205,0.004530664529622906,0.0,0.5662855607195418,0.625420915063461,0.6392158838943763,0.730950104758371,0.4544325453220624,-0.005645488482984258,-0.002718398717773743,0.0,0.3397713364317251,0.3752525490380766,2.531258532243853,High commercial activity; Strong complements; High category diversity
88be0e2533fffff,1175,1175,1,561,50,1250,1.0,0.0008503401360544217,0.4770408163265306,1175,0.0004446931833958073,,6,1,0,2.6390573296152584,0.6082647663916374,121021577,Hornsby - East,0.6906469437089904,7,11943,Hornsby,11943,7.069874128458572,7.1316985104669115,0.0008499788017044875,0.0004445943366853478,0.628826530612245,0.7152244200859889,0.7391288828289176,0.007216478985854882,0.005910317948463551,0.0,0.6082647663916374,0.7063896672710575,0.5659438775510205,0.7152244200859889,0.4434773296973506,-0.006494831087269394,-0.0035461907690781305,0.0,0.36495885983498244,0.42383380036263446,2.503397265675629,High commercial activity; Strong complements; High category diversity
88be085111fffff,1064,1064,2,521,43,1156,1.0,0.0018779342723004694,0.4892018779342723,1064,0.0009592452996539487,,9,1,0,2.995732273553991,0.7053965522940152,116011303,Blacktown (East) - Kings Park,0.592327615977898,4,17032,Blacktown,10396,6.970730078143525,7.053585727193677,0.0018761731582278788,0.000958785517887002,0.644857020913359,0.7041042566430609,0.7310332778127118,0.015929060987198256,0.012745837694070707,0.0,0.7053965522940152,0.605829232109638,0.5803713188220231,0.7041042566430609,0.43861996668762704,-0.01433615488847843,-0.007647502616442424,0.0,0.42323793137640914,0.3634975392657828,2.4878473552899822,High commercial activity; Strong complements; High category diversity
