area_id,total_poi_count,active_poi_count,competitor_count,complementary_count,commercial_other_count,unique_category_count,mean_data_quality_score,competitor_density_proxy,complementarity_ratio,commercial_activity_proxy,saturation_proxy,recent_refresh_share,station_entrance_count,pt_facility_count,bus_shelter_count,transit_access_raw,transit_access_score,sa2_code_2021,sa2_name_2021,market_fit_score,seifa_irsad_decile,sa2_population,sal_name_2021,sal_code_2021,commercial_activity_log,diversity_log,competition_log,saturation_log,n_complementarity,n_activity,n_diversity,n_competition,n_saturation,n_quality,n_transit,n_market_fit,score_complementarity,score_activity,score_diversity,score_competition,score_saturation,score_quality,score_transit_access,score_market_fit,opportunity_score,reasons_top3
88be0e35cbfffff,14895,14895,393,2846,5,15502,1.0,0.026382921589688507,0.1910580021482277,14895,0.021342253299929274,,23,7,10,4.07753744390572,1.0,117031644,Sydney (North) - Millers Point,0.8475941061356048,10,8004,Sydney,13730,9.608847999516849,9.648788832566362,0.026040895043765385,0.021117696820852905,0.2547440028643036,1.0,1.0,0.06422474960981983,0.05208264878668528,0.0,1.0,0.8669143099347728,0.2547440028643036,0.8,0.5,-0.05780227464883785,-0.03124958927201117,0.0,0.4,0.606840016954341,2.4725321558977957,High commercial activity; Strong market fit; High category diversity
88be0e3435fffff,7857,7857,190,1241,2,8204,1.0,0.024179180453041488,0.1579282260117078,7857,0.020360605377675683,,16,4,3,3.6506582412937387,0.8837497838889209,117031645,Sydney (South) - Haymarket,0.6817946356624841,9,19935,Sydney,13730,8.969287400118406,9.01249900352419,0.023891492221115373,0.020156099501514237,0.2105709680156104,0.9282658074350605,0.9340549534160618,0.05892366998627643,0.04971105798858843,0.0,0.8837497838889209,0.6973355782136718,0.2105709680156104,0.7426126459480484,0.4670274767080309,-0.053031302987648785,-0.029826634793153055,0.0,0.35349991355556837,0.4881349047495702,2.1789879711960265,High commercial activity; Strong market fit; High category diversity
88be0e3431fffff,4213,4213,94,687,6,4538,1.0,0.022306597057427623,0.1630280018984338,4213,0.018669997110001713,,19,5,0,3.784189633918261,0.9201138258830773,117031645,Sydney (South) - Haymarket,0.6817946356624841,9,19935,Haymarket,11884,8.346167594364134,8.420462002456466,0.02206144391214484,0.018497852045088543,0.21737066919791173,0.8583756419385501,0.8726962677466754,0.05441021550554627,0.04562131654532883,0.0,0.9201138258830773,0.6973355782136718,0.21737066919791173,0.6867005135508402,0.4363481338733377,-0.04896919395499164,-0.0273727899271973,0.0,0.36804553035323095,0.4881349047495702,2.120257767842702,High commercial activity; Strong market fit; High category diversity
88be0e35c1fffff,3386,3386,63,479,3,3560,1.0,0.018600531443755536,0.14142308827871272,3386,0.015969986843354326,,10,1,0,3.091042453358316,0.7313519723098968,117031644,Sydney (North) - Millers Point,0.8475941061356048,10,8004,Sydney,13730,8.127699852817772,8.177796683277778,0.01842965720763373,0.01584380821145121,0.1885641177049503,0.8338719325855122,0.8475464460032821,0.04545312738159783,0.039075639049130265,0.0,0.7313519723098968,0.8669143099347728,0.1885641177049503,0.6670975460684098,0.42377322300164105,-0.040907814643438054,-0.023445383429478158,0.0,0.29254078892395874,0.606840016954341,2.1144624945803847,High commercial activity; Strong market fit; High category diversity
88be08536dfffff,3658,3658,116,774,3,3830,1.0,0.03170265099754031,0.21153320579393275,3658,0.024996487599864392,,9,3,0,3.091042453358316,0.7313519723098968,125041717,Parramatta - North,0.7246690457004719,9,12062,Parramatta,13167,8.204945165019208,8.25088114470065,0.03121049666391827,0.024689185852660625,0.2820442743919103,0.8425358967280946,0.8551209159902506,0.0769745559847097,0.06089102455167211,0.0,0.7313519723098968,0.7411872748251582,0.2820442743919103,0.6740287173824757,0.4275604579951253,-0.06927710038623873,-0.036534614731003265,0.0,0.29254078892395874,0.5188310923776107,2.089193615953839,High commercial activity; Strong market fit; High category diversity
88be0e2469fffff,1049,1049,26,360,1,1123,1.0,0.024761904761904763,0.34285714285714286,1049,0.016272108843537414,,4,1,0,2.302585092994046,0.5166346987208347,126021500,Macquarie Park - Marsfield,0.7640727523886265,9,23818,Macquarie Park,12446,6.956545443151569,7.024649030453636,0.02446029757016067,0.016141136962833775,0.45714285714285713,0.7025132841239072,0.7280342799859199,0.06032651658804508,0.03980894197812914,0.0,0.5166346987208347,0.7814891562860572,0.45714285714285713,0.5620106272991258,0.3640171399929599,-0.05429386492924058,-0.023885365186877484,0.0,0.20665387948833389,0.54704240940024,2.0586876832073986,High commercial activity; Strong market fit; Strong complements
88be0e3419fffff,1013,1013,12,354,0,1044,1.0,0.011834319526627219,0.34911242603550297,1013,0.007702811526207065,,0,0,1,0.4054651081081644,0.0,117031330,Erskineville - Alexandria,0.9044779555657879,10,19126,Alexandria,10030,6.921658184151129,6.951772164398911,0.01176484157958637,0.007673296343204451,0.46548323471400394,0.6986002704742947,0.7204813251726948,0.029015669522044072,0.018924677339085552,0.0,0.0,0.9250947794758283,0.46548323471400394,0.5588802163794359,0.3602406625863474,-0.026114102569839665,-0.011354806403451332,0.0,0.0,0.6475663456330798,1.994701550339576,Strong market fit; High commercial activity; Strong complements
88be0e34e9fffff,1731,1731,67,444,1,1887,1.0,0.03868360277136259,0.25635103926096997,1731,0.02876702099856525,,3,1,0,2.0794415416798357,0.4558669548126133,117031640,Newtown (NSW),0.8345746517785195,10,14667,Newtown (NSW),12969,7.4570320891223805,7.543273346705446,0.03795414482815264,0.028361018192868265,0.34180138568129326,0.7586487081509964,0.7817844786120274,0.09360643880120939,0.06994687736559198,0.0,0.4558669548126133,0.8535980879270962,0.34180138568129326,0.6069189665207971,0.3908922393060137,-0.08424579492108845,-0.041968126419355184,0.0,0.18234678192504533,0.5975186615489674,1.993264113641673,High commercial activity; Strong market fit; High category diversity
88be0e34c1fffff,872,872,4,250,0,912,1.0,0.004581901489117984,0.286368843069874,872,0.003269787660619134,,2,1,0,1.791759469228055,0.37752370714636113,117021636,Marrickville - North,0.8048981236330147,9,12317,Marrickville,12514,6.771935555839602,6.816735880594968,0.004571436532580835,0.003264453529434435,0.38182512409316527,0.6818071286504708,0.7064861713614545,0.011274549748338223,0.00805113304241111,0.0,0.37752370714636113,0.8232451079661854,0.38182512409316527,0.5454457029203766,0.35324308568072726,-0.010147094773504402,-0.004830679825446666,0.0,0.15100948285854446,0.5762715755763298,1.9928171965301922,Strong market fit; High commercial activity; Strong complements
88be0e2051fffff,1163,1163,16,396,1,1217,1.0,0.013745704467353952,0.3402061855670103,1163,0.00906933078258405,,0,0,0,,0.0,122031429,Freshwater - Brookvale,0.8860366064233912,10,21828,Brookvale,10598,7.059617628291383,7.1049654482698426,0.013652089168327311,0.009028451382127921,0.4536082474226804,0.7140740337758761,0.7363582695777663,0.03367019478451743,0.02226690090363937,0.0,0.0,0.9062330750936021,0.4536082474226804,0.5712592270207009,0.36817913478888314,-0.03030317530606569,-0.013360140542183622,0.0,0.0,0.6343631525655214,1.9837464459495364,Strong market fit; High commercial activity; Strong complements
88be0e2053fffff,993,993,34,395,0,1049,1.0,0.03420523138832998,0.39738430583501005,993,0.020612609257152574,,0,0,0,,0.0,122031429,Freshwater - Brookvale,0.8860366064233912,10,21828,Brookvale,10598,6.901737206656574,6.956545443151569,0.03363323935853638,0.02040304432073139,0.5298457411133467,0.6963659001315621,0.7209760275478309,0.08294977468089355,0.05032009885123962,0.0,0.0,0.9062330750936021,0.5298457411133467,0.5570927201052497,0.36048801377391543,-0.0746547972128042,-0.03019205931074377,0.0,0.0,0.6343631525655214,1.9769427710344853,Strong market fit; High commercial activity; Strong complements
