area_id,total_poi_count,active_poi_count,competitor_count,complementary_count,commercial_other_count,unique_category_count,mean_data_quality_score,competitor_density_proxy,complementarity_ratio,commercial_activity_proxy,saturation_proxy,recent_refresh_share,station_entrance_count,pt_facility_count,bus_shelter_count,transit_access_raw,transit_access_score,sa2_code_2021,sa2_name_2021,market_fit_score,seifa_irsad_decile,sa2_population,sal_name_2021,sal_code_2021,rent_stress_share,rent_affordability_score,commercial_activity_log,diversity_log,competition_log,saturation_log,n_complementarity,n_activity,n_diversity,n_competition,n_saturation,n_quality,n_transit,n_market_fit,n_rent_affordability,score_complementarity,score_activity,score_diversity,score_competition,score_saturation,score_quality,score_transit_access,score_market_fit,score_rent_affordability,opportunity_score,reasons_top3
88be6355d3fffff,281,281,0,209,0,315,1.0,0.0,0.7411347517730497,281,0.0,,0,0,0,,0.0,210011231,Strathmore,0.8365949119373777,9,10031,Strathmore (Vic.),22380,0.27147766323024053,0.7285223367697595,5.641907070938114,5.755742213586912,0.0,0.0,0.8646572104018914,0.5762208690734096,0.615432021932,0.0,0.0,0.0,0.0,0.9098363734241396,0.8830031027104891,0.8646572104018914,0.46097669525872775,0.307716010966,-0.0,-0.0,0.0,0.0,0.6368854613968977,0.2649009308131467,2.5351363088366634,Strong complements; Strong market fit; High commercial activity
88be635633fffff,3678,3678,57,528,0,3808,1.0,0.015493340581679805,0.14351726012503396,3678,0.013269778791213119,,0,1,0,0.6931471805599453,0.07834324766625216,206041505,Melbourne CBD - West,0.667255669391044,8,15648,Melbourne,21640,0.39281632653061227,0.6071836734693877,8.210396255104774,8.245121966478605,0.01537454424395888,0.013182506485000989,0.1674368034792063,0.8752891412649441,0.8816086430916826,0.03791829170133542,0.032512061386757704,0.0,1.0,0.7256719706548818,0.7359349748504195,0.1674368034792063,0.7002313130119553,0.4408043215458413,-0.03412646253120188,-0.01950723683205462,0.0,0.4,0.5079703794584172,0.22078049245512585,2.38358961058729,High commercial activity; Strong market fit; High category diversity
88be63cc23fffff,738,738,12,384,0,856,1.0,0.016238159675236806,0.5196211096075778,738,0.007800469126805232,,0,0,0,,0.0,208041195,Malvern East,0.8602451939679981,10,21923,Malvern East,21587,0.30708661417322836,0.6929133858267716,6.6052979209482015,6.75343791859778,0.01610773081593297,0.007770202760189245,0.6062246278755075,0.688395620960142,0.7221105113817671,0.039726552282363034,0.019163677970821642,0.0,0.0,0.9355571691475644,0.8398433908115511,0.6062246278755075,0.5507164967681136,0.36105525569088354,-0.03575389705412673,-0.011498206782492986,0.0,0.0,0.654890018403295,0.2519530172434653,2.377587312144645,Strong market fit; Strong complements; High commercial activity
88be63cc3dfffff,582,582,6,297,0,668,1.0,0.010291595197255575,0.5094339622641509,582,0.005048707077898961,,0,0,0,,0.0,208041195,Malvern East,0.8602451939679981,10,21923,Malvern East,21587,0.30708661417322836,0.6929133858267716,6.368187186350492,6.505784060128229,0.010238997301094328,0.005036005090789141,0.5943396226415095,0.6607870570809019,0.6956301532973846,0.025252474494951882,0.012420316791958593,0.0,0.0,0.9355571691475644,0.8398433908115511,0.5943396226415095,0.5286296456647216,0.3478150766486923,-0.022727227045456693,-0.007452190075175155,0.0,0.0,0.654890018403295,0.2519530172434653,2.3474479634810517,Strong market fit; Strong complements; High commercial activity
88be6354c7fffff,690,690,11,379,0,783,1.0,0.015918958031837915,0.548480463096961,690,0.007187720558514369,,0,0,0,,0.0,213031349,Maribyrnong,0.7531368711868308,8,12573,Maribyrnong,21604,0.28668407310704963,0.7133159268929503,6.53813982376767,6.664409020350408,0.01579358025814122,0.0071620120121587815,0.6398938736131212,0.6805759049141236,0.7125911074846607,0.03895176167397375,0.017663695023168797,0.0,0.0,0.8190718229277514,0.864572223621941,0.6398938736131212,0.5444607239312989,0.35629555374233035,-0.03505658550657638,-0.010598217013901278,0.0,0.0,0.5733502760494259,0.25937166708658227,2.3277172919022813,Strong complements; Strong market fit; High commercial activity
88be6352a9fffff,932,932,26,463,0,1029,1.0,0.027867095391211148,0.4962486602357985,932,0.01403808663865942,,0,0,0,,0.0,207021157,Doncaster,0.7461781973063197,8,24814,Doncaster,20771,0.3800332778702163,0.6199667221297838,6.838405200847344,6.937314081223682,0.027485874036094395,0.013940465251235264,0.5789567702750983,0.7155380328746869,0.7417714472525266,0.06778850630166207,0.03438141771625987,0.0,0.0,0.8115039373036043,0.7514286269452572,0.5789567702750983,0.5724304262997495,0.3708857236262633,-0.06100965567149586,-0.02062885062975592,0.0,0.0,0.5680527561125229,0.22542858808357716,2.2341157580959594,Strong complements; High commercial activity; Strong market fit
88be635545fffff,565,565,11,308,0,642,1.0,0.019434628975265017,0.5441696113074205,565,0.00885889447989112,,0,0,0,,0.0,209021428,Preston - East,0.6853516749165419,7,20711,Preston (Vic.),22121,0.29168900804289544,0.7083109919571046,6.338594078203183,6.466144724237619,0.019248188304916626,0.008819884693956056,0.634864546525324,0.6573413117077267,0.6913917222263036,0.047471873460889415,0.021752512158464715,0.0,0.0,0.7453522290521677,0.8585060086904794,0.634864546525324,0.5258730493661814,0.3456958611131518,-0.04272468611480047,-0.013051507295078828,0.0,0.0,0.5217465603365173,0.25755180260714383,2.229955626538439,Strong complements; High commercial activity; Strong market fit
88be635631fffff,10736,10736,226,2492,2,11525,1.0,0.021048710067989196,0.2320946260594207,10736,0.01616341757572608,,0,0,0,,0.0,206041505,Melbourne CBD - West,0.667255669391044,8,15648,Melbourne,21640,0.39281632653061227,0.6071836734693877,9.281450999434135,9.352360631996612,0.020830246240404526,0.01603418029286605,0.2707770637359908,1.0,1.0,0.051373708424863336,0.03954515437266348,0.0,0.0,0.7256719706548818,0.7359349748504195,0.2707770637359908,0.8,0.5,-0.046236337582377,-0.023727092623598088,0.0,0.0,0.5079703794584172,0.22078049245512585,2.229564505443559,High commercial activity; Strong market fit; High category diversity
88be635663fffff,614,614,6,197,0,597,1.0,0.00975609756097561,0.3203252032520325,614,0.006630973626809439,,0,0,0,,0.0,206071517,Richmond (South) - Cremorne,0.8752906642108897,10,17671,Richmond (Vic.),22170,0.17494929006085191,0.8250507099391481,6.421622267806518,6.393590753950631,0.009708814126960895,0.006609085427956447,0.3737127371273713,0.6670089004836228,0.6836338979569139,0.023944881896892867,0.016300010274110606,0.0,0.0,0.9519198267336029,1.0,0.3737127371273713,0.5336071203868983,0.34181694897845694,-0.02155039370720358,-0.009780006164466363,0.0,0.0,0.666343878713522,0.3,2.184150285334578,Strong market fit; High commercial activity; Strong complements
88be635647fffff,1512,1512,36,504,3,1661,1.0,0.023793787177792465,0.3331130204890945,1512,0.01586776686212333,,0,0,0,,0.0,206061516,South Yarra - South,0.7569471624266144,9,9939,South Yarra,22314,0.2556189198255619,0.7443810801744382,7.321849713788356,7.415776975415394,0.02351512662851271,0.015743189959692858,0.38863185723727695,0.7718290681171248,0.792931032839376,0.05799543822212113,0.03882748390644037,0.0,0.0,0.8232156941297244,0.9022246405064487,0.38863185723727695,0.6174632544936999,0.396465516419688,-0.052195894399909015,-0.02329649034386422,0.0,0.0,0.576250985890807,0.2706673921519346,2.1739866214496333,High commercial activity; Strong market fit; High category diversity
88be63ceebfffff,658,658,29,324,1,724,1.0,0.04400606980273141,0.49165402124430957,658,0.02237030862506073,,0,0,0,,0.0,208031188,Highett (East) - Cheltenham,0.7463796477495107,8,24085,Cheltenham (Vic.),20539,0.3176077265973254,0.6823922734026746,6.490723534502507,6.586171654854675,0.04306530343083644,0.022123763359756993,0.5735963581183612,0.6750548741884804,0.7042255868878539,0.10621210695976355,0.054563914174965505,0.0,0.0,0.81172302414963,0.8270913110940837,0.5735963581183612,0.5400438993507843,0.35211279344392693,-0.0955908962637872,-0.0327383485049793,0.0,0.0,0.568206116904741,0.24812739332822512,2.153757316377272,Strong complements; Strong market fit; High commercial activity
