area_id,total_poi_count,active_poi_count,competitor_count,complementary_count,commercial_other_count,unique_category_count,mean_data_quality_score,competitor_density_proxy,complementarity_ratio,commercial_activity_proxy,saturation_proxy,recent_refresh_share,station_entrance_count,pt_facility_count,bus_shelter_count,transit_access_raw,transit_access_score,sa2_code_2021,sa2_name_2021,market_fit_score,seifa_irsad_decile,sa2_population,sal_name_2021,sal_code_2021,rent_stress_share,rent_affordability_score,commercial_activity_log,diversity_log,competition_log,saturation_log,n_complementarity,n_activity,n_diversity,n_competition,n_saturation,n_quality,n_transit,n_market_fit,n_rent_affordability,score_complementarity,score_activity,score_diversity,score_competition,score_saturation,score_quality,score_transit_access,score_market_fit,score_rent_affordability,opportunity_score,reasons_top3
88be0e35cbfffff,14895,14895,145,1176,6211,15502,1.0,0.009734156820622985,0.07894736842105263,14895,0.00896567075583696,,23,7,10,4.07753744390572,1.0,117031644,Sydney (North) - Millers Point,0.8475941061356048,10,8004,Sydney,13730,0.35134069400630913,0.6486593059936909,9.608847999516849,9.648788832566362,0.009687085138365002,0.008925717755843702,0.11842105263157894,1.0,1.0,0.018963585003720678,0.017473120651309723,0.0,1.0,0.8669143099347728,0.8349281855585226,0.14210526315789473,0.8,0.6,-0.018963585003720678,-0.012231184455916805,0.0,0.4,0.5201485859608637,0.2922248649454829,2.7232839446046038,High commercial activity; High category diversity; Strong market fit
88be0e3435fffff,7857,7857,130,722,3199,8204,1.0,0.016543649783659964,0.09188088572155764,7857,0.01502360458847003,,16,4,3,3.6506582412937387,0.8837497838889209,117031645,Sydney (South) - Haymarket,0.6817946356624841,9,19935,Sydney,13730,0.40920353982300883,0.5907964601769912,8.969287400118406,9.01249900352419,0.01640829441730076,0.014911867975527064,0.13782132858233648,0.9282658074350605,0.9340549534160618,0.03212112637641961,0.029191699244825266,0.0,0.8837497838889209,0.6973355782136718,0.7604494562431683,0.16538559429880376,0.7426126459480484,0.560432972049637,-0.03212112637641961,-0.020434189471377685,0.0,0.35349991355556837,0.418401346928203,0.26615730968510887,2.453934466617572,High commercial activity; High category diversity; Strong market fit
88be08536dfffff,3658,3658,48,378,1545,3830,1.0,0.013118338343809785,0.10330691445750205,3658,0.011763123286701259,,9,3,0,3.091042453358316,0.7313519723098968,125041717,Parramatta - North,0.7246690457004719,9,12062,Parramatta,13167,0.22309568988885878,0.7769043101111412,8.204945165019208,8.25088114470065,0.01303303813152546,0.011694475568591264,0.15496037168625307,0.8425358967280946,0.8551209159902506,0.0255136734047153,0.022893283000127076,0.0,0.7313519723098968,0.7411872748251582,1.0,0.18595244602350366,0.6740287173824757,0.5130725495941504,-0.0255136734047153,-0.01602529810008895,0.0,0.29254078892395874,0.4447123648950949,0.35,2.4187678953143794,High commercial activity; High category diversity; Strong market fit
88be0e3431fffff,4213,4213,65,453,1908,4538,1.0,0.015424774560987186,0.10749881347887992,4213,0.013766629597501853,,19,5,0,3.784189633918261,0.9201138258830773,117031645,Sydney (South) - Haymarket,0.6817946356624841,9,19935,Haymarket,11884,0.40920353982300883,0.5907964601769912,8.346167594364134,8.420462002456466,0.015307022052682494,0.013672730354866179,0.1612482202183199,0.8583756419385501,0.8726962677466754,0.02996525886824864,0.02676594461739386,0.0,0.9201138258830773,0.6973355782136718,0.7604494562431683,0.19349786426198387,0.6867005135508402,0.5236177606480052,-0.02996525886824864,-0.018736161232175703,0.0,0.36804553035323095,0.418401346928203,0.26615730968510887,2.4077189053269477,High commercial activity; High category diversity; Strong market fit
88be0e35c1fffff,3386,3386,34,277,1244,3560,1.0,0.010038382049010924,0.08178328904635371,3386,0.009217410148338935,,10,1,0,3.091042453358316,0.7313519723098968,117031644,Sydney (North) - Millers Point,0.8475941061356048,10,8004,Sydney,13730,0.35134069400630913,0.6486593059936909,8.127699852817772,8.177796683277778,0.009988332159832969,0.00917518907109702,0.12267493356953056,0.8338719325855122,0.8475464460032821,0.01955331074857871,0.017961489487262245,0.0,0.7313519723098968,0.8669143099347728,0.8349281855585226,0.14720992028343666,0.6670975460684098,0.5085278676019692,-0.01955331074857871,-0.012573042641083571,0.0,0.29254078892395874,0.5201485859608637,0.2922248649454829,2.3956232203944587,High commercial activity; Strong market fit; High category diversity
88be0e2747fffff,1867,1867,30,198,732,1964,1.0,0.016059957173447537,0.10599571734475374,1867,0.014357670492321941,,14,1,0,3.4011973816621555,0.8158151582009437,121011684,Chatswood - East,0.7974617244157935,9,19601,Chatswood,10891,0.39359504132231404,0.606404958677686,7.532623618788788,7.583247524303362,0.015932360381085243,0.014255575214548295,0.1589935760171306,0.7671271812627996,0.7859274004120149,0.03118943067817573,0.02790693056752137,0.0,0.8158151582009437,0.8156392022040642,0.7805400881235113,0.19079229122055671,0.6137017450102397,0.47155644024720894,-0.03118943067817573,-0.01953485139726496,0.0,0.3263260632803775,0.48938352132243845,0.27318903084322893,2.31422480984861,High commercial activity; Strong market fit; High category diversity
88be0e35ddfffff,1634,1634,31,185,624,1689,1.0,0.018960244648318043,0.11314984709480122,1634,0.016814895865480833,,5,5,0,2.772588722239781,0.644628808385794,117031641,Pyrmont,0.8064636813629561,10,12658,Pyrmont,13297,0.302784222737819,0.697215777262181,7.399398083331354,7.432483807917119,0.018782739395434234,0.016675090535486815,0.16972477064220182,0.7521843811214842,0.7703022562615504,0.036769375930990125,0.032643410509739186,0.0,0.644628808385794,0.8248463512845268,0.8974281236288156,0.20366972477064219,0.6017475048971874,0.4621813537569302,-0.036769375930990125,-0.02285038735681743,0.0,0.2578515233543176,0.49490781077071605,0.31409984327008544,2.274837997532072,High commercial activity; Strong market fit; High category diversity
88be0e3423fffff,2521,2521,55,271,896,2635,1.0,0.021808088818398096,0.10745440126883427,2521,0.019464713691599567,,3,1,0,2.0794415416798357,0.4558669548126133,117031329,Darlinghurst,0.8367272936571889,10,10615,Darlinghurst,11213,0.3209246472530772,0.6790753527469229,7.8328075165248645,7.877017895622398,0.021573694127500195,0.01927769904701867,0.1611816019032514,0.8007963121400733,0.8163737472454651,0.042232991306213545,0.03773831646285972,0.0,0.4558669548126133,0.8557997974898156,0.8740784983542912,0.19341792228390167,0.6406370497120587,0.489824248347279,-0.042232991306213545,-0.0264168215240018,0.0,0.18234678192504533,0.5134798784938893,0.3059274744240019,2.2569835423559605,High commercial activity; Strong market fit; High category diversity
88be0e34e9fffff,1731,1731,26,204,814,1887,1.0,0.015011547344110854,0.11778290993071594,1731,0.013243443615358768,,3,1,0,2.0794415416798357,0.4558669548126133,117031640,Newtown (NSW),0.8345746517785195,10,14667,Newtown (NSW),12969,0.3193299654347248,0.6806700345652752,7.4570320891223805,7.543273346705446,0.014899989122741842,0.01315651585679817,0.1766743648960739,0.7586487081509964,0.7817844786120274,0.029168445022185362,0.025755395275208773,0.0,0.4558669548126133,0.8535980879270962,0.8761311086920098,0.2120092378752887,0.6069189665207971,0.4690706871672164,-0.029168445022185362,-0.018028776692646138,0.0,0.18234678192504533,0.5121588527562577,0.30664588804220344,2.241953192571977,High commercial activity; Strong market fit; High category diversity
88be0e35ebfffff,688,688,8,96,229,694,1.0,0.011611030478955007,0.13933236574746008,688,0.009993238133556341,,2,4,0,2.1972245773362196,0.48794231305328967,121041417,North Sydney - Lavender Bay,0.8858639346149417,10,12441,Milsons Point,12640,0.25955278799886783,0.7404472120011322,6.535241271013659,6.543911845564792,0.011544139746865315,0.009943635913486074,0.2089985486211901,0.6552590995462779,0.6782107017906679,0.02259898331206989,0.01946581269784003,0.0,0.48794231305328967,0.9060564673746673,0.953073888720229,0.2507982583454281,0.5242072796370224,0.40692642107440075,-0.02259898331206989,-0.01362606888848802,0.0,0.19517692522131588,0.5436338804248003,0.33357586105208015,2.2180935735544898,Strong market fit; High commercial activity; High category diversity
88be0e35e3fffff,3191,3191,42,301,1280,3146,1.0,0.013157894736842105,0.09429824561403509,3191,0.011917128347183748,,0,1,0,0.6931471805599453,0.07834324766625216,121041417,North Sydney - Lavender Bay,0.8858639346149417,10,12441,North Sydney,13020,0.25955278799886783,0.7404472120011322,8.068402958569699,8.054204897064407,0.01307208156735277,0.011846678527191517,0.14144736842105263,0.8272210931896911,0.8347373993593938,0.02559010542772047,0.02319123782368929,0.0,0.07834324766625216,0.9060564673746673,0.953073888720229,0.16973684210526316,0.6617768745517529,0.5008424396156362,-0.02559010542772047,-0.016233866476582502,0.0,0.031337299066500866,0.5436338804248003,0.33357586105208015,2.199079224911731,High commercial activity; Strong market fit; High category diversity
